C,filename,url,atom_count,valid,reason,bytes,sha256
40,C40-D2-38.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D2-38.xyz,40,1,OK,2448,201051754184e9a355eecfb439e18bacbc8f10045713845ccc6f8fe4eb0560a1
40,C40-D2h-33.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D2h-33.xyz,40,1,OK,2448,ee7d4a29934a4f80ce47572f3aa641c9607cdd4284103baf6f185706311353be
40,C40-D5d-1.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D5d-1.xyz,40,1,OK,2448,bab1401bdcea7e893d7298809653cbb4863f7a85c013eb02523ea72edd1fc651
40,C40-D5d-39.xyz,https://nanotube.msu.edu/fullerene/C40/C40-D5d-39.xyz,40,1,OK,2448,c0149831e8cce64a8c1b973d7179855da8d776f4d65f6fd0bf45e34ad8bdc365
40,C40-Td-40.xyz,https://nanotube.msu.edu/fullerene/C40/C40-Td-40.xyz,40,1,OK,2448,473572120be1e9911e4dfb30a14a844b1741a409fa0912add8dbceca4c148c65
42,C42-C1-10.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-10.xyz,42,1,OK,2566,f7ad30bca71c884f1b5130e22933011dce16cff62adaf589046e4320b23e45bc
42,C42-C1-14.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-14.xyz,42,1,OK,2566,4dab3c089e982ada46ac05159904a91fe7074f86186309d8bc88cfd6b6627cbc
42,C42-C1-15.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-15.xyz,42,1,OK,2566,19f4362dff44e71fb1724b126f73dbc670b58454e206211a54b317b1ab4dcce3
42,C42-C1-17.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-17.xyz,42,1,OK,2566,1c39f074025a1adad8337867d8d847060219ab93f327d009c224cd4330cac6d3
42,C42-C1-18.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-18.xyz,42,1,OK,2566,6c505ae9e90fefc1ad2d9cfc09295e6f8cdb5960da92b4c826a5e7f8533bc33b
42,C42-C1-2.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-2.xyz,42,1,OK,2566,38270804f945e82692e7e385958ea87d02a970cbb2321516ab5244745feb64c8
42,C42-C1-20.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-20.xyz,42,1,OK,2566,901add1c85b4d8f26f6fc9ad494436307f0cbb8d5d31d288c940aa75d5a1394f
